LSOA code,LSOA name,IMD,IMD_R,Income,Income_R,Employment,Employment_R,Education,Education_R,Health,Health_R,Crime,Crime_R,Housing,Housing_R,Living,Living_R
E01002774,Islington 004E,30.8910 ,3,0.1760 ,3,0.1250 ,3,8.9020 ,7,0.5970 ,3,1.3180 ,1,29.3230 ,3,33.2710 ,3
E01002775,Islington 014D,22.1980 ,4,0.1230 ,5,0.0820 ,5,12.8160 ,6,0.3610 ,4,0.6440 ,3,25.8310 ,4,34.6060 ,2
E01002776,Islington 014E,32.1420 ,3,0.2040 ,2,0.1140 ,4,16.7660 ,5,0.8950 ,2,0.5470 ,3,27.9910 ,3,44.2370 ,1
E01002777,Islington 012A,27.5760 ,3,0.1750 ,3,0.1070 ,4,6.9370 ,8,0.6770 ,3,0.5890 ,3,25.1190 ,4,43.6620 ,1
E01002778,Islington 012B,39.0660 ,2,0.2510 ,2,0.1540 ,2,24.1060 ,4,0.7410 ,2,1.2530 ,1,31.8270 ,2,31.0530 ,3
E01002779,Islington 012C,18.5950 ,5,0.1230 ,5,0.0660 ,7,8.1160 ,8,-0.4080 ,7,0.8840 ,2,26.9990 ,3,28.8160 ,3
E01002780,Islington 014F,26.3510 ,4,0.1770 ,3,0.1270 ,3,9.3000 ,7,0.3770 ,4,0.5560 ,3,25.3940 ,4,32.1610 ,3
E01002781,Islington 012D,28.9360 ,3,0.2320 ,2,0.1390 ,3,12.2470 ,7,0.4140 ,4,0.4160 ,4,25.8890 ,4,24.3520 ,4
E01002782,Islington 012E,37.1680 ,2,0.2740 ,1,0.1570 ,2,22.6880 ,4,0.7440 ,2,0.8880 ,2,28.1570 ,3,24.6730 ,4
E01002783,Islington 010B,46.4540 ,1,0.2860 ,1,0.2090 ,1,21.2090 ,4,1.4110 ,1,1.0440 ,1,29.9160 ,3,31.1460 ,3
E01002784,Islington 010C,34.3000 ,2,0.2430 ,2,0.1640 ,2,16.5740 ,5,0.7200 ,3,0.6110 ,3,30.7390 ,2,22.7580 ,5
E01002785,Islington 008B,18.8890 ,5,0.0960 ,6,0.0850 ,5,2.1010 ,10,-0.6500 ,8,0.6950 ,2,25.5960 ,4,44.9510 ,1
E01002786,Islington 010D,36.1060 ,2,0.2420 ,2,0.1520 ,2,8.4400 ,8,0.9110 ,2,1.0380 ,1,32.7720 ,2,29.8360 ,3
E01002787,Islington 010E,32.1050 ,3,0.1850 ,3,0.1220 ,3,12.5190 ,6,0.9980 ,2,0.7010 ,2,31.4020 ,2,38.6480 ,2
E01002788,Islington 008C,16.9850 ,6,0.0990 ,5,0.0830 ,5,2.0690 ,10,-0.4210 ,7,0.4270 ,4,30.1150 ,3,29.3070 ,3
E01002789,Islington 008D,13.7030 ,7,0.0770 ,7,0.0570 ,7,0.5370 ,10,-0.7330 ,9,0.6690 ,3,23.0350 ,5,34.4670 ,2
E01002790,Islington 016D,42.2680 ,2,0.2740 ,1,0.2110 ,1,24.6070 ,4,0.7670 ,2,0.9270 ,2,26.8610 ,3,33.0350 ,3
E01002791,Islington 016E,13.8790 ,7,0.0750 ,7,0.0540 ,8,10.8110 ,7,-0.4690 ,8,0.4390 ,4,21.6570 ,5,32.8050 ,3
E01002792,Islington 017E,16.0980 ,6,0.0970 ,6,0.0600 ,7,4.6960 ,9,0.0590 ,5,0.2670 ,4,23.5940 ,4,36.3470 ,2
E01002793,Islington 016F,36.2470 ,2,0.2400 ,2,0.1480 ,3,13.2550 ,6,0.7480 ,2,1.2660 ,1,25.6270 ,4,37.1180 ,2
E01002794,Islington 020B,22.2160 ,4,0.1180 ,5,0.0780 ,6,7.4410 ,8,0.0000 ,5,0.8240 ,2,26.0610 ,4,46.4610 ,1
E01002795,Islington 013D,25.0190 ,4,0.1580 ,3,0.1010 ,4,15.7070 ,6,0.0500 ,5,0.8530 ,2,24.6370 ,4,35.0800 ,2
E01002796,Islington 013E,23.5750 ,4,0.1590 ,3,0.1030 ,4,1.6710 ,10,0.3310 ,4,0.4990 ,3,25.5720 ,4,37.9500 ,2
