,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,area,NO2,NOx,PM25,PM10
1586,E01001610,Greenwich 023C,E02000335,Greenwich 023,E09000011,Greenwich,0.222067740829,26.980574700472165,41.241297797333424,10.643272782401215,16.13053287018975
1587,E01001611,Greenwich 023D,E02000335,Greenwich 023,E09000011,Greenwich,0.203611385488,26.97111063549034,41.29856900397607,10.708514749651124,16.28863067739814
1588,E01001613,Greenwich 028A,E02000340,Greenwich 028,E09000011,Greenwich,0.731641208431,25.137562930780238,37.021238165812484,10.257968835589914,15.36000400369437
1589,E01001614,Greenwich 028B,E02000340,Greenwich 028,E09000011,Greenwich,0.889890859702,26.375892139167238,41.19230936242522,10.455945080561603,16.049865165631548
1590,E01001615,Greenwich 028C,E02000340,Greenwich 028,E09000011,Greenwich,0.950297475069,25.200398166141685,37.38637304186121,10.265579818779944,15.340467004544177
1591,E01001617,Greenwich 028D,E02000340,Greenwich 028,E09000011,Greenwich,0.695417240744,24.640085184328615,35.849199574381046,10.193692904042434,15.15656830680725
1592,E01001618,Greenwich 030C,E02000342,Greenwich 030,E09000011,Greenwich,0.34574502635,24.307980782143403,35.265229825457716,10.203115279984557,15.117315176029885
1593,E01001619,Greenwich 030D,E02000342,Greenwich 030,E09000011,Greenwich,0.319143724734,24.392296820841775,35.58977367577332,10.181067644135931,15.099071530069454
1594,E01001620,Greenwich 025A,E02000337,Greenwich 025,E09000011,Greenwich,0.26358342619,30.5562384701065,53.74342023275543,11.143631182905388,17.895222739245753
1595,E01001621,Greenwich 025B,E02000337,Greenwich 025,E09000011,Greenwich,0.367358019574,30.1187572019646,51.63142511173511,11.082263033596345,17.69710526147782
1596,E01001623,Greenwich 025C,E02000337,Greenwich 025,E09000011,Greenwich,0.274528842351,29.534892727265206,48.70260491663096,10.954634559397794,17.49028842859296
1597,E01001624,Greenwich 025D,E02000337,Greenwich 025,E09000011,Greenwich,0.222911637775,26.759305266646653,40.562120014912374,10.690995951815768,16.25278432519586
1598,E01001625,Greenwich 025E,E02000337,Greenwich 025,E09000011,Greenwich,0.264611579957,29.223978524429025,48.18047056782584,10.947674916642308,17.231700948535593
1599,E01001629,Greenwich 009A,E02000321,Greenwich 009,E09000011,Greenwich,0.209311344762,29.384315814680726,49.66048084142554,10.95288937328426,17.701138236140476
1600,E01001631,Greenwich 007B,E02000319,Greenwich 007,E09000011,Greenwich,0.193021165941,30.730432958223034,54.46799324243573,11.204839008659187,18.45905505686186
1601,E01001632,Greenwich 007C,E02000319,Greenwich 007,E09000011,Greenwich,0.121408158633,26.869713975257998,41.61747891517362,10.544236176871625,16.067333888692826
1602,E01001633,Greenwich 009B,E02000321,Greenwich 009,E09000011,Greenwich,0.115275919057,26.129721019284943,39.07167548321663,10.443512646019036,15.771871603972523
1603,E01001634,Greenwich 009C,E02000321,Greenwich 009,E09000011,Greenwich,0.11712966093,26.529752763006773,40.380211903011286,10.481055519509553,15.914109144495967
1604,E01001635,Greenwich 007D,E02000319,Greenwich 007,E09000011,Greenwich,0.210433131382,26.1235740257032,39.454908753886365,10.471289116324801,15.763929675925862
1605,E01001636,Greenwich 007E,E02000319,Greenwich 007,E09000011,Greenwich,0.121145478953,25.92310417175293,38.88427677154541,10.445577793121338,15.745268147786458
1606,E01001637,Greenwich 009D,E02000321,Greenwich 009,E09000011,Greenwich,0.184924295796,26.28206543656378,39.69261162884757,10.485283827065398,15.8579738375455
1607,E01001638,Greenwich 038A,E02006931,Greenwich 038,E09000011,Greenwich,0.104950971548,28.079149086056773,42.808575156990806,10.736680267421344,16.56086237375973
1608,E01001640,Greenwich 035A,E02006928,Greenwich 035,E09000011,Greenwich,0.134967828767,30.946247186233748,51.67178098763993,11.282258566101985,17.96634447467861
1609,E01001641,Greenwich 038B,E02006931,Greenwich 038,E09000011,Greenwich,0.368473508219,30.541614069080147,50.200121579615,11.235546020003047,17.86315884455683
1610,E01001642,Greenwich 038C,E02006931,Greenwich 038,E09000011,Greenwich,1.19382361353,28.562843146514126,44.39640122941397,10.908107362944504,17.07986541124822
1611,E01001644,Greenwich 038D,E02006931,Greenwich 038,E09000011,Greenwich,0.189824260374,32.12665582100551,56.024552353223164,11.404349335034688,18.64212702512741
1612,E01001645,Greenwich 022A,E02000334,Greenwich 022,E09000011,Greenwich,0.28391442458,26.420697045958025,39.02601711853112,10.496219783979813,15.983736604826221
1613,E01001646,Greenwich 019A,E02000331,Greenwich 019,E09000011,Greenwich,0.212964337128,27.250193549102207,41.98696265310611,10.601295012348103,16.356777815548877
1614,E01001647,Greenwich 022B,E02000334,Greenwich 022,E09000011,Greenwich,0.350934702161,29.896817288893523,49.256179131015266,10.984881857781753,17.568954876646348
1615,E01001648,Greenwich 022C,E02000334,Greenwich 022,E09000011,Greenwich,0.415812990639,26.178915236138106,38.79692248236424,10.485341567224367,15.866962160121457
1616,E01001649,Greenwich 022D,E02000334,Greenwich 022,E09000011,Greenwich,0.331820893889,25.804991476744124,37.45235637553687,10.45071761353502,15.796627302771633
1617,E01001650,Greenwich 019B,E02000331,Greenwich 019,E09000011,Greenwich,0.209081922243,27.31678817281321,41.450071787925516,10.672297042905143,16.420306653355272
1618,E01001651,Greenwich 019C,E02000331,Greenwich 019,E09000011,Greenwich,0.306247006513,27.13200009463653,41.20838879662862,10.634817043314456,16.39634996949844
1619,E01001652,Greenwich 019D,E02000331,Greenwich 019,E09000011,Greenwich,0.263543671941,30.589757554074552,51.71729298855396,11.13540673763194,17.923815219960314
1620,E01001653,Greenwich 029A,E02000341,Greenwich 029,E09000011,Greenwich,0.266184173707,26.360325161829834,40.13048769575954,10.456970050908703,15.766847246965485
1621,E01001654,Greenwich 029B,E02000341,Greenwich 029,E09000011,Greenwich,0.295640010071,25.31111319773906,36.999787490432325,10.333064623136778,15.353545770129642
1622,E01001655,Greenwich 029C,E02000341,Greenwich 029,E09000011,Greenwich,0.440108190913,25.51087217556757,37.90546153195351,10.322181680814817,15.439230029483094
1623,E01001656,Greenwich 034A,E02006927,Greenwich 034,E09000011,Greenwich,0.2818323443,25.972947400681516,37.687337629169434,10.417941201663186,15.713739483069022
1624,E01001657,Greenwich 034B,E02006927,Greenwich 034,E09000011,Greenwich,0.401839773896,26.90967384277587,40.52928889225203,10.564019832003163,16.086413344539018
1625,E01001658,Greenwich 034C,E02006927,Greenwich 034,E09000011,Greenwich,0.43613212286,26.892779230305205,40.91686872652192,10.547562872411135,16.103730819113654
1626,E01001659,Greenwich 034D,E02006927,Greenwich 034,E09000011,Greenwich,0.377552958731,28.551712822584747,46.589386428200605,10.828828328220801,16.949819409758582
1627,E01001660,Greenwich 029D,E02000341,Greenwich 029,E09000011,Greenwich,0.332939545309,28.387351743562373,46.2356776938076,10.811794687093958,16.79415692351264
1628,E01001661,Greenwich 029E,E02000341,Greenwich 029,E09000011,Greenwich,0.451644387336,26.517277871463314,40.7430148429059,10.532940719144564,16.044848684723494
1629,E01001662,Greenwich 037A,E02006930,Greenwich 037,E09000011,Greenwich,0.239167472648,30.208466454307633,49.03962460130748,11.40962827166315,19.358003418044287
1630,E01001664,Greenwich 037B,E02006930,Greenwich 037,E09000011,Greenwich,0.153541334173,31.35449220731661,53.104606638326274,11.390210317636464,18.864483469182794
1631,E01001665,Greenwich 037C,E02006930,Greenwich 037,E09000011,Greenwich,0.188252193619,33.48589982240447,59.383234278092175,11.98982021420501,21.11688820756263
1632,E01001666,Greenwich 036A,E02006929,Greenwich 036,E09000011,Greenwich,0.431358806662,30.327305108033354,49.056695007352424,11.545343002418052,19.16135679904282
1633,E01001667,Greenwich 036B,E02006929,Greenwich 036,E09000011,Greenwich,1.35987195586,33.09608525090389,57.979457808074145,11.79838349441699,20.58513330725658
1634,E01001668,Greenwich 036C,E02006929,Greenwich 036,E09000011,Greenwich,0.232964523651,29.209168791770935,45.99009976784388,11.160025581717491,18.26074778371387
1635,E01001669,Greenwich 033A,E02006786,Greenwich 033,E09000011,Greenwich,0.501846770535,24.749195648839297,35.98570447988784,10.304443954278867,15.336527996550734
1636,E01001671,Greenwich 033B,E02006786,Greenwich 033,E09000011,Greenwich,0.193920984722,25.664976159403146,38.374305401951815,10.423287937463808,15.576628123433137
1637,E01001672,Greenwich 006A,E02000318,Greenwich 006,E09000011,Greenwich,0.361234164207,24.645058450043333,35.32447287565853,10.239760519395647,15.386074032328874
1638,E01001673,Greenwich 006B,E02000318,Greenwich 006,E09000011,Greenwich,0.17514062128,27.627579349509173,44.46148427327474,10.68992692813311,16.74499298493608
1639,E01001674,Greenwich 006C,E02000318,Greenwich 006,E09000011,Greenwich,0.212047668742,25.05313617640654,36.815900244630775,10.34653596166899,15.522764076466315
1640,E01001675,Greenwich 006D,E02000318,Greenwich 006,E09000011,Greenwich,0.157105445318,26.23327254265854,39.86248910058405,10.507718523753057,15.901114065622545
1641,E01001676,Greenwich 033C,E02006786,Greenwich 033,E09000011,Greenwich,0.132584957895,27.21450433304061,43.656718171532475,10.666421426232182,16.428844574316223
1642,E01001677,Greenwich 006E,E02000318,Greenwich 006,E09000011,Greenwich,0.203494448665,25.677774165854842,38.63839083422947,10.46041669919797,15.797479358628566
1643,E01001678,Greenwich 017A,E02000329,Greenwich 017,E09000011,Greenwich,0.265499584613,24.539444594002056,35.25547126551379,10.292134784105857,15.216685614434843
1644,E01001679,Greenwich 020A,E02000332,Greenwich 020,E09000011,Greenwich,0.213247271503,25.906114660707633,38.31693455688936,10.428500876390844,15.737470252173287
1645,E01001680,Greenwich 020B,E02000332,Greenwich 020,E09000011,Greenwich,0.610679762545,25.054216872321234,36.13332109388962,10.281641260782878,15.355508531931958
1646,E01001681,Greenwich 020C,E02000332,Greenwich 020,E09000011,Greenwich,0.155676221527,25.055726309211888,36.17311701482656,10.337471906019717,15.420203320834101
1647,E01001682,Greenwich 020D,E02000332,Greenwich 020,E09000011,Greenwich,0.877489670102,26.0890852261896,38.977172959558494,10.439258224452468,15.762882044979426
1648,E01001683,Greenwich 017B,E02000329,Greenwich 017,E09000011,Greenwich,0.138063783505,25.83394089297972,38.67441522349482,10.43017517587413,15.652658589680989
