LSOA Code,population,old,median_age,male,male_pop,old_pop
E01000420,1520.00 ,402.00 ,43.60 ,726.00 ,0.48 ,0.26 
E01000421,1477.00 ,483.00 ,50.10 ,719.00 ,0.49 ,0.33 
E01000422,1567.00 ,192.00 ,31.80 ,789.00 ,0.50 ,0.12 
E01000423,1637.00 ,449.00 ,43.80 ,807.00 ,0.49 ,0.27 
E01000424,1671.00 ,486.00 ,45.30 ,829.00 ,0.50 ,0.29 
E01000425,1725.00 ,550.00 ,47.00 ,822.00 ,0.48 ,0.32 
E01000426,1594.00 ,327.00 ,39.60 ,781.00 ,0.49 ,0.21 
E01000427,2225.00 ,603.00 ,40.50 ,1010.00 ,0.45 ,0.27 
E01000428,1860.00 ,543.00 ,40.80 ,814.00 ,0.44 ,0.29 
E01000429,1718.00 ,193.00 ,31.80 ,838.00 ,0.49 ,0.11 
E01000430,2238.00 ,202.00 ,32.10 ,1071.00 ,0.48 ,0.09 
E01000431,1502.00 ,211.00 ,34.30 ,770.00 ,0.51 ,0.14 
E01000432,2456.00 ,312.00 ,33.70 ,1153.00 ,0.47 ,0.13 
E01000433,2073.00 ,254.00 ,30.20 ,996.00 ,0.48 ,0.12 
E01000434,1755.00 ,269.00 ,33.30 ,772.00 ,0.44 ,0.15 
E01000435,1458.00 ,289.00 ,36.90 ,670.00 ,0.46 ,0.20 
E01000436,1784.00 ,512.00 ,43.80 ,898.00 ,0.50 ,0.29 
E01000437,1340.00 ,305.00 ,41.70 ,656.00 ,0.49 ,0.23 
E01000438,1751.00 ,316.00 ,34.60 ,872.00 ,0.50 ,0.18 
E01000439,1420.00 ,235.00 ,37.30 ,717.00 ,0.50 ,0.17 
E01000440,1423.00 ,407.00 ,45.70 ,694.00 ,0.49 ,0.29 
E01000441,1712.00 ,252.00 ,35.00 ,828.00 ,0.48 ,0.15 
E01000442,1663.00 ,414.00 ,42.40 ,777.00 ,0.47 ,0.25 
E01000443,1323.00 ,292.00 ,39.00 ,619.00 ,0.47 ,0.22 
E01000444,1678.00 ,522.00 ,47.90 ,816.00 ,0.49 ,0.31 
E01000445,1684.00 ,502.00 ,44.30 ,811.00 ,0.48 ,0.30 
E01000446,1564.00 ,319.00 ,38.10 ,739.00 ,0.47 ,0.20 
E01000447,1901.00 ,346.00 ,36.90 ,882.00 ,0.46 ,0.18 
E01000448,1324.00 ,411.00 ,49.80 ,659.00 ,0.50 ,0.31 
E01000449,1466.00 ,478.00 ,48.60 ,689.00 ,0.47 ,0.33 
E01000450,1870.00 ,344.00 ,37.90 ,913.00 ,0.49 ,0.18 
E01000451,1734.00 ,371.00 ,40.30 ,854.00 ,0.49 ,0.21 
E01000452,1436.00 ,264.00 ,39.30 ,693.00 ,0.48 ,0.18 
E01000453,1474.00 ,327.00 ,39.30 ,713.00 ,0.48 ,0.22 
E01000454,1682.00 ,350.00 ,38.80 ,779.00 ,0.46 ,0.21 
E01000455,1761.00 ,363.00 ,40.30 ,842.00 ,0.48 ,0.21 
E01000456,1447.00 ,326.00 ,40.60 ,691.00 ,0.48 ,0.23 
E01000457,2118.00 ,433.00 ,35.30 ,949.00 ,0.45 ,0.20 
E01000458,1457.00 ,528.00 ,50.70 ,643.00 ,0.44 ,0.36 
E01000459,1823.00 ,509.00 ,42.70 ,870.00 ,0.48 ,0.28 
E01000460,1255.00 ,370.00 ,46.70 ,625.00 ,0.50 ,0.29 
